boat_id,year,event,w
Dummy1,2017,DEL,0.2723032166506654
Dummy1,2017,FAD,0.30073323746899583
Dummy1,2017,NOA,0.1086891947448508
Dummy1,2017,OFS,0.318274351135488
Dummy10,2017,DEL,0.0885053815853346
Dummy10,2017,FAD,0.3265712557925385
Dummy10,2017,NOA,0.2500812437784714
Dummy10,2017,OFS,0.33484211884365556
Dummy2,2017,DEL,0.29817254359456535
Dummy2,2017,FAD,0.14864931068076873
Dummy2,2017,NOA,0.2598275173378379
Dummy2,2017,OFS,0.29335062838682807
Dummy3,2017,DEL,0.26893548854967236
Dummy3,2017,FAD,0.04153802775285609
Dummy3,2017,NOA,0.21839555853421294
Dummy3,2017,OFS,0.4711309251632586
Dummy4,2017,DEL,0.12669559269221098
Dummy4,2017,FAD,0.23657305508631252
Dummy4,2017,NOA,0.3154541532289337
Dummy4,2017,OFS,0.3212771989925428
Dummy5,2017,DEL,0.16930128509112785
Dummy5,2017,FAD,0.16460093557262181
Dummy5,2017,NOA,0.3873679984074483
Dummy5,2017,OFS,0.278729780928802
Dummy6,2017,DEL,0.2913968375888628
Dummy6,2017,FAD,0.23800916462222949
Dummy6,2017,NOA,0.35509743281748213
Dummy6,2017,OFS,0.11549656497142562
Dummy7,2017,DEL,0.07780785201959838
Dummy7,2017,FAD,0.3606232572986487
Dummy7,2017,NOA,0.2047670277102247
Dummy7,2017,OFS,0.35680186297152827
Dummy8,2017,DEL,0.07233498292334602
Dummy8,2017,FAD,0.2898478851493699
Dummy8,2017,NOA,0.2769999028125021
Dummy8,2017,OFS,0.360817229114782
Dummy9,2017,DEL,0.3130896368335837
Dummy9,2017,FAD,0.4069040770950226
Dummy9,2017,NOA,0.22233710453792935
Dummy9,2017,OFS,0.0576691815334644
