boat_id,year,lon,lat,value
Boat1,2017,-149.5,-8.5,70.20883463470543
Boat1,2017,-149.5,-4.5,0
Boat1,2017,-149.5,-3.5,99.7774286154392
Boat1,2017,-149.5,-2.5,0
Boat1,2017,-149.5,-1.5,218.50104074068923
Boat1,2017,-149.5,-0.5,38.88245159757307
Boat1,2017,-149.5,0.5,0
Boat1,2017,-149.5,1.5,0
Boat1,2017,-149.5,2.5,73.39332656616565
Boat1,2017,-149.5,3.5,108.8979655735659
Boat1,2017,-149.5,4.5,0
Boat1,2017,-149.5,5.5,0
Boat1,2017,-149.5,6.5,0
Boat1,2017,-148.5,-4.5,44.74601731668274
Boat1,2017,-148.5,-3.5,0
Boat1,2017,-148.5,-2.5,228.867141573255
Boat1,2017,-148.5,-1.5,152.415332380673
Boat1,2017,-148.5,-0.5,190.22723350794504
Boat1,2017,-148.5,0.5,0
Boat1,2017,-148.5,1.5,0
Boat1,2017,-148.5,2.5,0
Boat1,2017,-148.5,3.5,0
Boat1,2017,-148.5,7.5,51.06737593494414
Boat1,2017,-147.5,-7.5,0
Boat1,2017,-147.5,-4.5,114.11280900639424
Boat1,2017,-147.5,-3.5,0
Boat1,2017,-147.5,-2.5,0
Boat1,2017,-147.5,-1.5,0
Boat1,2017,-147.5,-0.5,0
Boat1,2017,-147.5,0.5,37.00601376339198
Boat1,2017,-147.5,1.5,0
Boat1,2017,-147.5,2.5,0
Boat1,2017,-147.5,3.5,201.09798705552268
Boat1,2017,-147.5,4.5,0
Boat1,2017,-147.5,5.5,1.4047084019602099
Boat1,2017,-146.5,-4.5,0
Boat1,2017,-146.5,-3.5,114.67258237995995
Boat1,2017,-146.5,-2.5,0
Boat1,2017,-146.5,-1.5,29.712304195531345
Boat1,2017,-146.5,-0.5,131.01093435424173
Boat1,2017,-146.5,0.5,0
Boat1,2017,-146.5,1.5,0
Boat1,2017,-146.5,2.5,101.13324356817999
Boat1,2017,-146.5,3.5,87.94680360511866
Boat1,2017,-146.5,4.5,0
Boat1,2017,-146.5,5.5,52.63658070253505
Boat1,2017,-145.5,-10.5,0
Boat1,2017,-145.5,-9.5,0
Boat1,2017,-145.5,-4.5,95.44133577229954
Boat1,2017,-145.5,-3.5,0
Boat1,2017,-145.5,-2.5,0
Boat1,2017,-145.5,-1.5,0
Boat1,2017,-145.5,-0.5,0
Boat1,2017,-145.5,0.5,0
Boat1,2017,-145.5,1.5,28.760029753897292
Boat1,2017,-145.5,2.5,46.87326483678673
Boat1,2017,-145.5,4.5,0
Boat1,2017,-145.5,5.5,0.495109669801877
Boat1,2017,-144.5,-9.5,0
Boat1,2017,-144.5,-8.5,0
Boat1,2017,-144.5,-6.5,0
Boat1,2017,-144.5,-5.5,0
Boat1,2017,-144.5,-4.5,151.06738211922155
Boat1,2017,-144.5,-3.5,0
Boat1,2017,-144.5,-2.5,0
Boat1,2017,-144.5,-1.5,71.52189626368704
Boat1,2017,-144.5,-0.5,26.549611509389997
Boat1,2017,-144.5,0.5,120.29391820212922
Boat1,2017,-144.5,1.5,6.604194836180014
Boat1,2017,-144.5,2.5,153.08247688711
Boat1,2017,-144.5,3.5,0
Boat1,2017,-144.5,4.5,93.55253121665065
Boat1,2017,-144.5,5.5,0
Boat1,2017,-144.5,6.5,0
Boat1,2017,-143.5,-10.5,12.821615498127672
Boat1,2017,-143.5,-9.5,83.1507938368322
