Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
149485.29700000002,191.9549999999999,834845.717973159,838660.6086968046,4742.170014634088,23531.0,3151423.892428687,3333529.3859227328
360506.2499999999,190.94999999999996,755210.0286956627,767155.1470373521,11619.40302000455,107076.0,3509503.091124351,4078908.0229600845
360272.169,133.665,551315.7840605072,526353.1933028435,11476.193145697556,192474.0,3664371.765184859,4589675.696262928
362760.94000000006,81.40499999999997,343948.1356501277,268094.9249711854,11463.190164455356,189031.0,3603530.1608349867,4847048.901234113
363271.1910000003,54.26999999999998,218899.7847625226,108227.76509390115,11384.949568672599,195330.0,3411091.505597509,4947762.366328014
363341.97699999996,51.25499999999998,178185.6931349104,40976.603266990736,11386.191154636139,141264.0,3174439.63873242,4981395.309595005
362930.923,50.249999999999986,158895.3884867658,17805.830313238253,11318.300554798176,139689.0,2920418.9472191855,4991956.139908243
363601.82800000004,36.179999999999986,173130.51906798634,9155.50603596835,11285.72107150912,131634.0,2674890.506287172,4995854.475944211
363548.21400000004,33.164999999999985,169305.48577081924,6181.4244959817925,11218.090598714405,143437.0,2430568.442057991,4997194.010440193
362616.9270000001,54.27000000000001,176949.26889831206,7259.102337099376,11098.046932663337,157464.0,2196766.950956303,4996582.142777292
362881.781,43.21499999999999,190709.50795551922,6685.448777722858,11074.572992676849,164712.0,1977328.8689118223,4996942.261555015
363062.2960000002,41.204999999999984,182486.01747451143,6220.414213815773,11122.260124941986,193221.0,1752610.0263863334,4997155.835768831
363088.13600000006,37.18499999999999,182221.94052600034,5713.023683232717,10999.71164457545,184411.0,1526845.216912334,4997423.119452064
361269.9110000001,73.36500000000002,189565.18315616492,9083.794572289153,10861.740221403874,179808.0,1312392.010068499,4995788.684024353
363320.9850000001,42.20999999999998,205876.4076889558,7110.207573760055,10821.331826795351,200375.0,1111217.0877574545,4996742.4915981125
362751.7579999999,41.204999999999984,197666.8139837107,6394.397960536133,10834.078210905036,217622.0,908450.3117411655,4997103.099558649
360780.0970000001,58.29000000000003,188949.82028447115,7844.762289742046,10793.077988677636,224466.0,700374.2520256364,4996409.981848391
357220.63099999994,45.224999999999994,153006.71733749975,7018.5712189083215,10412.537317189184,289336.0,465505.1893631359,4996812.8430673
323560.32,39.19499999999999,80684.11316807738,6160.395012002496,9021.91969021749,368181.0,204217.75253121322,4997223.658079302
159529.70299999995,76.38000000000004,28909.597022190002,9530.084589293578,3532.763166643386,633308.0,71623.53955340318,4995575.972668596
